AREA_DEL_HECHO,LUGAR,DIA,HORA_INFRACCION,ARMA,EDAD,SEXO,ANTECEDENTES,DISTRITO,PRESUNTA_MOTIVACION
URBANO,VIA PUBLICA,JUEVES,H22,ARMA DE FUEGO,40,HOMBRE,NO,FLORIDA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,SABADO,H21,ARMA DE FUEGO,49,HOMBRE,NO,PASCUALES,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,SABADO,H23,CONSTRICTORA,35,HOMBRE,NO,ESTEROS,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,LUNES,H06,ARMA DE FUEGO,37,HOMBRE,NO,SUR,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,VIERNES,H18,ARMA DE FUEGO,41,HOMBRE,NO,ESTEROS,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H21,ARMA DE FUEGO,49,HOMBRE,NO,MODELO,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MIERCOLES,H13,ARMA DE FUEGO,24,HOMBRE,SI,FLORIDA,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,VIERNES,H11,ARMA DE FUEGO,30,HOMBRE,NO,NUEVA PROSPERINA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,SABADO,H01,ARMA DE FUEGO,37,HOMBRE,NO,PORTETE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,VIERNES,H17,ARMA DE FUEGO,43,MUJER,NO,CEIBOS,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H05,ARMA BLANCA,46,HOMBRE,SI,PORTETE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H06,ARMA BLANCA,69,HOMBRE,NO,PASCUALES,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,MIERCOLES,H22,ARMA DE FUEGO,35,HOMBRE,SI,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,VIERNES,H20,ARMA DE FUEGO,37,HOMBRE,SI,SUR,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,MIERCOLES,H15,ARMA BLANCA,24,HOMBRE,SI,ESTEROS,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,JUEVES,H15,ARMA DE FUEGO,36,HOMBRE,NO,PORTETE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H02,ARMA DE FUEGO,32,HOMBRE,NO,SUR,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H02,ARMA DE FUEGO,33,HOMBRE,NO,SUR,VIOLENCIA COMUNITARIA
RURAL,LUGARES PRIVADOS,LUNES,H02,ARMA DE FUEGO,36,HOMBRE,NO,PROGRESO,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,MARTES,H11,ARMA DE FUEGO,20,HOMBRE,NO,FLORIDA,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,MIERCOLES,H22,ARMA DE FUEGO,46,HOMBRE,NO,ESTEROS,VIOLENCIA INTRAFAMILIAR
URBANO,LUGARES PRIVADOS,LUNES,H23,OTROS,40,HOMBRE,NO,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,VIERNES,H20,ARMA DE FUEGO,45,HOMBRE,NO,PASCUALES,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MIERCOLES,H21,ARMA DE FUEGO,58,HOMBRE,NO,SUR,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MIERCOLES,H22,ARMA DE FUEGO,21,HOMBRE,NO,SUR,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,VIERNES,H19,ARMA DE FUEGO,49,MUJER,NO,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,VIERNES,H19,ARMA DE FUEGO,41,HOMBRE,SI,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H05,ARMA DE FUEGO,28,HOMBRE,SI,PORTETE,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,SABADO,H21,ARMA DE FUEGO,27,HOMBRE,NO,SUR,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,MARTES,H22,ARMA DE FUEGO,24,HOMBRE,NO,SUR,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,MIERCOLES,H06,ARMA DE FUEGO,26,HOMBRE,NO,SUR,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,SABADO,H00,ARMA DE FUEGO,22,HOMBRE,NO,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H23,ARMA DE FUEGO,20,HOMBRE,SIN_DATO,FLORIDA,DELINCUENCIA COMUN
